SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,I,AM,3382,Shoreline North/185th Station Bay 1,Saturday,0,2.712,43.400,0.000,0.000,2.712
701,I,AM,3313,Aurora Village Transit Center Bay 12,Saturday,1,3.513,56.200,0.300,4.800,5.925
701,I,AM,2747,238th St SW NB Station,Saturday,2,0.887,14.200,0.312,5.000,6.500
701,I,AM,2753,Gateway NB Station at 216th St SW,Saturday,3,0.938,15.000,0.588,9.400,6.850
701,I,AM,2761,Heron NB Station at 200th St SW,Saturday,4,0.800,12.800,0.275,4.400,7.025
701,I,AM,3247,196th St SW NB Station,Saturday,5,1.300,20.800,1.113,17.800,7.213
701,I,AM,2767,Cherry Hill NB Station at 176th St SW,Saturday,6,0.627,9.400,0.787,11.800,7.360
701,I,AM,2777,148th St SW NB Station,Saturday,7,1.400,21.000,0.533,8.000,8.227
701,I,AM,2779,Lincoln Way NB Station,Saturday,8,0.853,12.800,0.333,5.000,8.747
701,I,AM,2781,Airport Road NB Station,Saturday,9,2.720,40.800,1.640,24.600,9.533
701,I,AM,2783,112th St SW NB Station,Saturday,10,0.947,14.200,0.493,7.400,9.813
701,I,AM,2787,4th Ave W NB Station,Saturday,11,1.320,19.800,1.840,27.600,9.293
701,I,AM,2795,Casino Rd NB Station,Saturday,12,1.357,19.000,1.743,24.400,9.271
701,I,AM,2807,Madison St NB Station,Saturday,13,0.514,7.200,0.900,12.600,8.886
701,I,AM,2815,50th St NB Station,Saturday,14,0.357,5.000,0.686,9.600,8.557
701,I,AM,2819,40th St NB Station,Saturday,15,0.471,6.600,0.629,8.800,8.129
701,I,AM,2835,Colby Ave NB Station,Saturday,16,0.286,4.000,2.243,31.400,5.729
701,I,AM,2838,Everett Station Bay G1,Saturday,17,0.000,0.000,6.046,78.600,0.000
701,I,MID,2835,Colby Ave NB Station,Saturday,16,0.317,7.600,3.592,86.200,6.592
701,I,MID,2838,Everett Station Bay G1,Saturday,17,0.000,0.000,6.658,159.800,0.000
701,I,MID,2795,Casino Rd NB Station,Saturday,12,2.042,49.000,5.242,125.800,11.767
701,I,MID,2807,Madison St NB Station,Saturday,13,1.200,28.800,1.950,46.800,10.758
701,I,MID,2815,50th St NB Station,Saturday,14,1.150,27.600,1.650,39.600,10.100
701,I,MID,2819,40th St NB Station,Saturday,15,0.550,13.200,1.142,27.400,9.608
701,I,MID,2767,Cherry Hill NB Station at 176th St SW,Saturday,6,1.983,47.600,2.208,53.000,13.658
701,I,MID,2777,148th St SW NB Station,Saturday,7,2.608,62.600,1.950,46.800,14.317
701,I,MID,2779,Lincoln Way NB Station,Saturday,8,1.883,45.200,1.025,24.600,15.025
701,I,MID,2781,Airport Road NB Station,Saturday,9,4.520,113.000,3.352,83.800,15.496
