SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
701,I,AM,3382,Shoreline North/185th Station Bay 1,Sunday,2.775,27.750,0.000,0.000,2.775
701,I,AM,3313,Aurora Village Transit Center Bay 12,Sunday,4.167,37.500,0.500,4.500,6.361
701,I,AM,2747,238th St SW NB Station,Sunday,0.972,8.750,0.278,2.500,7.056
701,I,AM,2753,Gateway NB Station at 216th St SW,Sunday,0.944,8.500,0.861,7.750,7.139
701,I,AM,2761,Heron NB Station at 200th St SW,Sunday,0.611,5.500,0.306,2.750,7.444
701,I,AM,3247,196th St SW NB Station,Sunday,1.583,14.250,0.806,7.250,8.222
701,I,AM,2767,Cherry Hill NB Station at 176th St SW,Sunday,1.167,10.500,0.944,8.500,8.444
701,I,AM,2777,148th St SW NB Station,Sunday,1.278,11.500,0.806,7.250,7.556
701,I,AM,2779,Lincoln Way NB Station,Sunday,0.500,4.000,0.250,2.000,8.250
701,I,AM,2781,Airport Road NB Station,Sunday,3.062,24.500,1.781,14.250,9.531
701,I,AM,2783,112th St SW NB Station,Sunday,1.188,9.500,0.594,4.750,10.125
701,I,AM,2787,4th Ave W NB Station,Sunday,0.625,5.000,0.656,5.250,10.094
701,I,AM,2795,Casino Rd NB Station,Sunday,2.031,16.250,2.344,18.750,9.781
701,I,AM,2807,Madison St NB Station,Sunday,0.844,6.750,1.406,11.250,9.219
701,I,AM,2815,50th St NB Station,Sunday,0.469,3.750,1.031,8.250,8.656
701,I,AM,2819,40th St NB Station,Sunday,0.406,3.250,0.500,4.000,8.562
701,I,AM,2835,Colby Ave NB Station,Sunday,0.281,2.250,1.875,15.000,6.188
701,I,AM,2838,Everett Station Bay G1,Sunday,0.000,0.000,6.929,48.500,0.000
701,I,MID,2838,Everett Station Bay G1,Sunday,0.048,1.000,6.131,128.750,0.000
701,I,MID,2777,148th St SW NB Station,Sunday,2.034,44.750,1.625,35.750,12.386
701,I,MID,2779,Lincoln Way NB Station,Sunday,1.298,27.250,1.000,21.000,13.179
