SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
702,I,XNT,3035,Canyon Park Park & Ride Bay 6,Weekday,1.599,11.190,0.000,0.000,1.599
702,I,XNT,3033,220th St SE NB Station,Weekday,0.578,4.048,0.027,0.190,2.150
702,I,XNT,3032,208th St SE NB Station,Weekday,1.395,9.762,0.286,2.000,3.259
702,I,XNT,3031,196th St SE NB Station,Weekday,0.401,2.810,0.136,0.952,3.442
702,I,XNT,3030,180th St SE NB Station,Weekday,0.413,2.476,0.333,2.000,3.857
702,I,XNT,3029,164th St SE NB Station,Weekday,0.413,2.476,0.778,4.667,3.492
702,I,XNT,3028,153rd St SE NB Station,Weekday,0.286,2.000,0.245,1.714,3.156
702,I,XNT,3027,Trillium Blvd NB Station,Weekday,0.224,1.571,0.082,0.571,3.612
702,I,XNT,3026,16th Ave SE NB Station,Weekday,1.830,12.810,0.408,2.857,5.558
702,I,XNT,3025,Dumas Rd NB Station,Weekday,0.442,3.095,0.102,0.714,5.980
702,I,XNT,3024,3rd Ave SE NB Station,Weekday,0.279,1.952,0.415,2.905,5.844
702,I,XNT,3023,4th Ave W NB Station,Weekday,2.422,16.952,2.395,16.762,5.810
702,I,XNT,3022,Gibson Rd NB Station,Weekday,0.197,1.381,0.456,3.190,5.347
702,I,XNT,3021,Hwy 99 NB Station,Weekday,0.721,5.048,3.707,25.952,2.306
702,I,XNT,3020,112th St SW NB Station,Weekday,0.048,0.286,0.524,3.143,2.190
702,I,XNT,3019,100th St SW NB Station,Weekday,0.020,0.143,0.170,1.190,1.741
702,I,XNT,3018,Kasch Park Rd NB Station,Weekday,0.088,0.619,0.415,2.905,1.429
702,I,XNT,3017,Seaway Transit Center Bay 13,Weekday,0.000,0.000,1.497,10.476,0.000
702,I,AM,3022,Gibson Rd NB Station,Weekday,0.640,18.571,0.184,5.333,5.064
702,I,AM,3021,Hwy 99 NB Station,Weekday,0.775,22.476,2.026,58.762,3.808
702,I,AM,3020,112th St SW NB Station,Weekday,0.087,2.524,0.499,14.476,3.396
702,I,AM,3019,100th St SW NB Station,Weekday,0.010,0.286,0.483,13.524,3.020
702,I,AM,3018,Kasch Park Rd NB Station,Weekday,0.007,0.190,0.757,21.190,2.230
702,I,AM,3017,Seaway Transit Center Bay 13,Weekday,0.016,0.476,2.136,61.952,-0.002
702,I,AM,3030,180th St SE NB Station,Weekday,0.881,26.429,0.333,10.000,3.854
702,I,AM,3029,164th St SE NB Station,Weekday,0.527,15.810,0.581,17.429,3.800
702,I,AM,3028,153rd St SE NB Station,Weekday,0.273,8.190,0.308,9.238,3.746
702,I,AM,3027,Trillium Blvd NB Station,Weekday,0.289,8.667,0.537,16.095,3.441
702,I,AM,3026,16th Ave SE NB Station,Weekday,0.765,21.429,0.507,14.190,3.884
702,I,AM,3025,Dumas Rd NB Station,Weekday,0.252,7.048,0.080,2.238,4.056
702,I,AM,3024,3rd Ave SE NB Station,Weekday,0.551,15.429,0.095,2.667,4.491
702,I,AM,3023,4th Ave W NB Station,Weekday,1.140,33.048,0.788,22.857,4.565
702,I,AM,3035,Canyon Park Park & Ride Bay 6,Weekday,1.865,55.952,0.000,0.000,1.865
702,I,AM,3033,220th St SE NB Station,Weekday,0.184,5.524,0.025,0.762,2.014
702,I,AM,3032,208th St SE NB Station,Weekday,0.781,23.429,0.098,2.952,2.614
702,I,AM,3031,196th St SE NB Station,Weekday,0.760,22.810,0.110,3.286,3.259
702,I,MID,3018,Kasch Park Rd NB Station,Weekday,0.020,1.095,0.317,17.429,1.191
702,I,MID,3017,Seaway Transit Center Bay 13,Weekday,0.035,1.905,1.240,68.190,-0.003
702,I,MID,3023,4th Ave W NB Station,Weekday,1.459,81.714,0.875,49.000,4.122
702,I,MID,3022,Gibson Rd NB Station,Weekday,0.342,19.143,0.375,21.000,4.043
702,I,MID,3021,Hwy 99 NB Station,Weekday,0.421,23.571,2.674,149.762,1.777
702,I,MID,3020,112th St SW NB Station,Weekday,0.046,2.571,0.309,17.286,1.513
702,I,MID,3019,100th St SW NB Station,Weekday,0.033,1.810,0.106,5.810,1.471
702,I,MID,3027,Trillium Blvd NB Station,Weekday,0.248,13.667,0.223,12.238,2.717
702,I,MID,3026,16th Ave SE NB Station,Weekday,0.936,52.429,0.519,29.048,3.088
702,I,MID,3025,Dumas Rd NB Station,Weekday,0.235,13.143,0.087,4.857,3.234
702,I,MID,3024,3rd Ave SE NB Station,Weekday,0.446,24.952,0.157,8.810,3.519
702,I,MID,3032,208th St SE NB Station,Weekday,0.755,41.524,0.272,14.952,2.407
702,I,MID,3031,196th St SE NB Station,Weekday,0.404,22.238,0.211,11.619,2.607
702,I,MID,3030,180th St SE NB Station,Weekday,0.643,35.381,0.242,13.333,2.957
702,I,MID,3029,164th St SE NB Station,Weekday,0.519,28.000,0.653,35.238,2.874
702,I,MID,3028,153rd St SE NB Station,Weekday,0.259,14.238,0.411,22.619,2.680
702,I,MID,3035,Canyon Park Park & Ride Bay 6,Weekday,1.691,94.714,0.000,0.000,1.691
