SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,I,AM,3222,Edmonds College Transit Center Station,Saturday,2.509,27.600,0.000,0.000,2.509
703,I,AM,3225,Hwy 99 EB Station,Saturday,2.273,25.000,0.164,1.800,4.618
703,I,AM,3227,Lynnwood City Center EB Station,Saturday,1.560,15.600,1.980,19.800,4.240
703,I,AM,3228,188th St SW EB Station,Saturday,0.220,2.200,1.680,16.800,2.780
703,I,AM,3229,180th Pl SW EB Station,Saturday,0.120,1.200,0.140,1.400,2.760
703,I,AM,3231,Swamp Creek Park & Ride EB Station,Saturday,0.420,4.200,0.040,0.400,3.100
703,I,AM,3239,Ash Way Park & Ride Station,Saturday,0.640,6.400,0.560,5.600,3.080
703,I,AM,3233,Larch Way EB Station,Saturday,0.378,3.400,0.556,5.000,3.044
703,I,AM,3234,North Rd EB Station,Saturday,0.333,3.000,0.156,1.400,3.222
703,I,AM,3029,164th St SE NB Station,Saturday,0.022,0.200,0.822,7.400,2.422
703,I,AM,3028,153rd St SE NB Station,Saturday,0.044,0.400,0.467,4.200,1.933
703,I,AM,3027,Trillium Blvd NB Station,Saturday,0.000,0.000,0.333,3.000,1.578
703,I,AM,3224,McCollum Park Park & Ride Station,Saturday,0.000,0.000,1.725,13.800,0.000
703,I,MID,3028,153rd St SE NB Station,Saturday,0.217,5.200,0.558,13.400,2.208
703,I,MID,3027,Trillium Blvd NB Station,Saturday,0.000,0.000,0.425,10.200,1.792
703,I,MID,3224,McCollum Park Park & Ride Station,Saturday,0.017,0.400,1.825,43.800,0.000
703,I,MID,3231,Swamp Creek Park & Ride EB Station,Saturday,0.624,15.600,0.408,10.200,3.912
703,I,MID,3239,Ash Way Park & Ride Station,Saturday,0.817,19.600,0.808,19.400,4.108
703,I,MID,3233,Larch Way EB Station,Saturday,0.408,10.200,0.728,18.200,3.656
703,I,MID,3234,North Rd EB Station,Saturday,0.296,7.400,0.456,11.400,3.464
703,I,MID,3029,164th St SE NB Station,Saturday,0.184,4.600,1.064,26.600,2.464
703,I,MID,3227,Lynnwood City Center EB Station,Saturday,3.976,99.400,2.440,61.000,8.184
703,I,MID,3228,188th St SW EB Station,Saturday,0.933,22.400,5.100,122.400,4.217
703,I,MID,3229,180th Pl SW EB Station,Saturday,0.108,2.600,0.367,8.800,3.917
703,I,MID,3222,Edmonds College Transit Center Station,Saturday,2.892,69.400,0.000,0.000,2.892
703,I,MID,3225,Hwy 99 EB Station,Saturday,4.333,104.000,0.350,8.400,6.875
703,I,PM,3233,Larch Way EB Station,Saturday,0.624,10.600,1.553,26.400,5.306
703,I,PM,3234,North Rd EB Station,Saturday,0.329,5.600,0.529,9.000,5.153
703,I,PM,3029,164th St SE NB Station,Saturday,0.518,8.800,1.659,28.200,4.129
703,I,PM,3028,153rd St SE NB Station,Saturday,0.341,5.800,0.835,14.200,3.647
703,I,PM,3027,Trillium Blvd NB Station,Saturday,0.106,1.800,0.871,14.800,2.824
703,I,PM,3224,McCollum Park Park & Ride Station,Saturday,0.013,0.200,2.875,46.000,0.000
703,I,PM,3228,188th St SW EB Station,Saturday,2.538,40.600,4.275,68.400,7.438
703,I,PM,3229,180th Pl SW EB Station,Saturday,0.165,2.800,0.624,10.600,6.600
703,I,PM,3231,Swamp Creek Park & Ride EB Station,Saturday,0.659,11.200,1.129,19.200,6.153
703,I,PM,3239,Ash Way Park & Ride Station,Saturday,1.712,27.400,1.525,24.400,6.562
703,I,PM,3222,Edmonds College Transit Center Station,Saturday,3.350,53.600,0.000,0.000,3.350
703,I,PM,3225,Hwy 99 EB Station,Saturday,3.837,61.400,0.263,4.200,6.925
703,I,PM,3227,Lynnwood City Center EB Station,Saturday,4.259,72.400,2.165,36.800,8.506
703,I,XEV,3029,164th St SE NB Station,Saturday,0.300,3.600,2.017,24.200,2.350
703,I,XEV,3028,153rd St SE NB Station,Saturday,0.217,2.600,0.367,4.400,2.267
703,I,XEV,3027,Trillium Blvd NB Station,Saturday,0.183,2.200,0.450,5.400,2.083
703,I,XEV,3224,McCollum Park Park & Ride Station,Saturday,0.017,0.200,2.283,27.400,0.000
703,I,XEV,3239,Ash Way Park & Ride Station,Saturday,1.067,12.800,1.200,14.400,5.133
703,I,XEV,3233,Larch Way EB Station,Saturday,0.600,6.600,1.145,12.600,4.945
703,I,XEV,3234,North Rd EB Station,Saturday,0.055,0.600,0.655,7.200,4.345
703,I,XEV,3227,Lynnwood City Center EB Station,Saturday,2.364,26.000,1.564,17.200,5.800
703,I,XEV,3228,188th St SW EB Station,Saturday,2.000,22.000,1.782,19.600,6.127
703,I,XEV,3229,180th Pl SW EB Station,Saturday,0.109,1.200,0.382,4.200,5.855
703,I,XEV,3231,Swamp Creek Park & Ride EB Station,Saturday,0.483,5.800,0.667,8.000,5.317
703,I,XEV,3222,Edmonds College Transit Center Station,Saturday,2.800,30.800,0.000,0.000,2.800
703,I,XEV,3225,Hwy 99 EB Station,Saturday,2.145,23.600,0.145,1.600,4.800
703,I,XNT,3239,Ash Way Park & Ride Station,Saturday,0.600,1.800,0.000,0.000,3.600
703,I,XNT,3233,Larch Way EB Station,Saturday,0.333,1.000,0.467,1.400,3.867
703,I,XNT,3234,North Rd EB Station,Saturday,0.067,0.200,0.400,1.200,3.533
703,I,XNT,3029,164th St SE NB Station,Saturday,0.200,0.600,1.400,4.200,2.333
703,I,XNT,3028,153rd St SE NB Station,Saturday,0.000,0.000,0.067,0.200,2.267
703,I,XNT,3027,Trillium Blvd NB Station,Saturday,0.200,0.600,0.400,1.200,2.067
703,I,XNT,3224,McCollum Park Park & Ride Station,Saturday,0.000,0.000,1.550,6.200,0.000
703,I,XNT,3227,Lynnwood City Center EB Station,Saturday,1.600,3.200,0.700,1.400,3.300
703,I,XNT,3228,188th St SW EB Station,Saturday,1.000,2.000,0.500,1.000,3.800
703,I,XNT,3229,180th Pl SW EB Station,Saturday,0.000,0.000,0.200,0.400,3.600
703,I,XNT,3231,Swamp Creek Park & Ride EB Station,Saturday,0.500,1.000,1.400,2.800,2.700
703,I,XNT,3222,Edmonds College Transit Center Station,Saturday,1.000,1.000,0.000,0.000,1.000
703,I,XNT,3225,Hwy 99 EB Station,Saturday,1.200,1.200,0.000,0.000,2.200
703,O,AM,3224,McCollum Park Park & Ride Station,Saturday,0.933,11.200,0.000,0.000,0.933
703,O,AM,3046,Trillium Blvd SB Station,Saturday,0.364,4.000,0.036,0.400,1.291
703,O,AM,3047,153rd St SE SB Station,Saturday,0.382,4.200,0.000,0.000,1.673
703,O,AM,3236,Mill Creek Blvd WB Station,Saturday,0.545,6.000,0.164,1.800,2.055
