SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,I,AM,3222,Edmonds College Transit Center Bay 5,Sunday,0,2.000,20.000,0.000,0.000,2.000
703,I,AM,3225,Hwy 99 EB Station,Sunday,1,1.525,15.250,0.125,1.250,3.400
703,I,AM,3227,Lynnwood City Center Station Bay D5,Sunday,2,1.868,17.750,1.158,11.000,4.079
703,I,AM,3228,188th St SW EB Station,Sunday,3,0.000,0.000,1.306,11.750,2.750
703,I,AM,3229,180th Pl SW EB Station,Sunday,4,0.083,0.750,0.167,1.500,2.667
703,I,AM,3231,Swamp Creek Park & Ride EB Station,Sunday,5,0.222,2.000,0.167,1.500,2.722
703,I,AM,3239,Ash Way Park & Ride Bay 5,Sunday,6,0.278,2.500,0.361,3.250,2.639
703,I,AM,3233,Larch Way EB Station,Sunday,7,0.118,1.000,0.412,3.500,2.353
703,I,AM,3234,North Rd EB Station,Sunday,8,0.091,0.750,0.212,1.750,2.273
703,I,AM,3029,164th St SE NB Station,Sunday,9,0.031,0.250,0.438,3.500,1.875
703,I,AM,3028,153rd St SE NB Station,Sunday,10,0.031,0.250,0.312,2.500,1.594
703,I,AM,3027,Trillium Blvd NB Station,Sunday,11,0.000,0.000,0.156,1.250,1.438
703,I,AM,3224,McCollum Park Park & Ride Bay 4,Sunday,12,0.000,0.000,1.438,11.500,0.000
703,I,MID,3233,Larch Way EB Station,Sunday,7,0.529,9.250,0.700,12.250,4.186
703,I,MID,3234,North Rd EB Station,Sunday,8,0.380,6.750,0.352,6.250,4.169
703,I,MID,3029,164th St SE NB Station,Sunday,9,0.347,6.250,1.528,27.500,2.958
703,I,MID,3028,153rd St SE NB Station,Sunday,10,0.097,1.750,0.722,13.000,2.333
703,I,MID,3027,Trillium Blvd NB Station,Sunday,11,0.056,1.000,0.556,10.000,1.833
703,I,MID,3224,McCollum Park Park & Ride Bay 4,Sunday,12,0.141,2.500,1.915,34.000,0.000
703,I,MID,3228,188th St SW EB Station,Sunday,3,1.111,20.000,8.250,148.500,5.292
703,I,MID,3229,180th Pl SW EB Station,Sunday,4,0.153,2.750,0.500,9.000,4.944
703,I,MID,3231,Swamp Creek Park & Ride EB Station,Sunday,5,0.542,9.750,0.722,13.000,4.764
703,I,MID,3239,Ash Way Park & Ride Bay 5,Sunday,6,0.806,14.500,0.903,16.250,4.667
703,I,MID,3222,Edmonds College Transit Center Bay 5,Sunday,0,4.014,72.250,0.000,0.000,4.014
703,I,MID,3225,Hwy 99 EB Station,Sunday,1,4.444,80.000,0.514,9.250,7.944
703,I,MID,3227,Lynnwood City Center Station Bay D5,Sunday,2,8.296,147.250,3.296,58.500,12.676
703,I,PM,3233,Larch Way EB Station,Sunday,7,1.102,13.500,2.347,28.750,7.265
703,I,PM,3234,North Rd EB Station,Sunday,8,0.208,2.500,0.896,10.750,6.625
703,I,PM,3029,164th St SE NB Station,Sunday,9,0.562,6.750,2.833,34.000,4.354
703,I,PM,3028,153rd St SE NB Station,Sunday,10,0.271,3.250,1.167,14.000,3.458
