SERVICE_RTE_NUM,INBD_OUTBD_CD,DAY_PART_CD,STOP_ID,STOP_NAME,DAY_TYPE,STOP_SEQUENCE_NUM,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
703,I,XNT,3222,Edmonds College Transit Center Bay 5,Weekday,0,1.267,13.333,0.000,0.000,1.267
703,I,XNT,3225,Hwy 99 EB Station,Weekday,1,1.582,16.571,0.155,1.619,2.695
703,I,XNT,3227,Lynnwood City Center Station Bay D5,Weekday,2,2.063,21.714,1.335,14.048,3.588
703,I,XNT,3228,188th St SW EB Station,Weekday,3,0.441,4.667,0.369,3.905,3.649
703,I,XNT,3229,180th Pl SW EB Station,Weekday,4,0.207,2.190,0.243,2.571,3.613
703,I,XNT,3231,Swamp Creek Park & Ride EB Station,Weekday,5,0.475,5.000,0.941,9.905,3.149
703,I,XNT,3239,Ash Way Park & Ride Bay 5,Weekday,6,0.327,3.429,0.914,9.571,2.577
703,I,XNT,3233,Larch Way EB Station,Weekday,7,0.228,2.333,0.386,3.952,2.674
703,I,XNT,3234,North Rd EB Station,Weekday,8,0.063,0.667,0.288,3.048,2.563
703,I,XNT,3029,164th St SE NB Station,Weekday,9,0.211,2.238,0.919,9.762,1.857
703,I,XNT,3028,153rd St SE NB Station,Weekday,10,0.045,0.476,0.251,2.667,1.650
703,I,XNT,3027,Trillium Blvd NB Station,Weekday,11,0.014,0.143,0.321,3.381,1.357
703,I,XNT,3224,McCollum Park Park & Ride Bay 4,Weekday,12,0.000,0.000,1.370,14.286,0.000
703,I,AM,3233,Larch Way EB Station,Weekday,7,0.365,7.429,0.457,9.286,2.286
703,I,AM,3234,North Rd EB Station,Weekday,8,0.484,9.857,0.107,2.190,2.647
703,I,AM,3029,164th St SE NB Station,Weekday,9,0.080,1.619,0.837,16.905,1.901
703,I,AM,3028,153rd St SE NB Station,Weekday,10,0.095,1.905,0.521,10.429,1.474
703,I,AM,3027,Trillium Blvd NB Station,Weekday,11,0.017,0.333,0.636,12.571,0.870
703,I,AM,3224,McCollum Park Park & Ride Bay 4,Weekday,12,0.005,0.095,0.851,16.571,0.000
703,I,AM,3227,Lynnwood City Center Station Bay D5,Weekday,2,1.919,41.571,1.679,36.381,3.543
703,I,AM,3228,188th St SW EB Station,Weekday,3,0.100,2.143,1.480,31.571,2.172
703,I,AM,3229,180th Pl SW EB Station,Weekday,4,0.180,3.762,0.080,1.667,2.262
703,I,AM,3231,Swamp Creek Park & Ride EB Station,Weekday,5,0.543,11.143,0.176,3.619,2.601
703,I,AM,3239,Ash Way Park & Ride Bay 5,Weekday,6,0.435,8.857,0.570,11.619,2.460
703,I,AM,3222,Edmonds College Transit Center Bay 5,Weekday,0,1.729,37.048,0.000,0.000,1.729
703,I,AM,3225,Hwy 99 EB Station,Weekday,1,1.776,38.048,0.171,3.667,3.333
