SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
243,157,56805,1,AM,111,L,I,NE 4th St,Hoquiam Ave NE,FS,N,RNT,8,594,0,0.2,0,0,0.3
243,157,56810,2,AM,111,L,I,Jericho Ave NE,NE 3rd Pl,FS,N,RNT,8,672,0.2,1.3,0.2,1.2,0.3
243,157,56815,3,AM,111,L,I,Jericho Ave NE,NE 2nd St,FS,N,RNT,8,675,0.1,0.5,0,0,0.4
243,157,56820,4,AM,111,L,I,144th Ave SE,SE 136th St,FS,N,KC,8,672,0,0,0,0,0.4
243,157,56825,5,AM,111,L,I,144th Ave SE,SE 138th St,FS,N,KC,8,675,0,0,0,0,0.4
243,157,56830,6,AM,111,L,I,144th Ave SE,SE 140th St,FS,N,KC,8,675,0,0,0,0,0.4
243,157,56835,7,AM,111,L,I,SE 141st St,144th Ave SE,FS,N,KC,8,675,0.2,1.3,0,0,0.6
243,157,56840,8,AM,111,L,I,SE 142nd St,146th Pl SE,FS,N,KC,8,675,0,0.1,0,0,0.6
243,157,56845,9,AM,111,L,I,SE 142nd St,148th Pl SE,FS,N,KC,8,675,0,0,0,0,0.6
243,157,56850,10,AM,111,L,I,SE 142nd St,150th Pl SE,FS,N,KC,8,675,0,0.1,0,0,0.6
243,157,56855,11,AM,111,L,I,154th Ave SE,SE 142nd Pl,NS,N,KC,8,675,0.1,0.5,0,0,0.7
243,157,56860,12,AM,111,L,I,156th Ave SE,SE 144th St,NS,N,KC,8,675,0.2,1.3,0,0.3,0.8
243,157,56865,13,AM,111,L,I,SE 144th St,158th Pl SE,NS,N,KC,8,675,0,0.1,0,0,0.8
243,157,56870,14,AM,111,L,I,SE 144th St,161st Ave SE,FS,N,RNT,8,675,0.1,0.5,0,0,0.9
243,157,56871,15,AM,111,L,I,SE 144th St,164th Pl SE,FS,N,KC,8,675,0,0.1,0,0,0.9
243,157,56872,16,AM,111,L,I,SE 144th St,167th Pl SE,NS,N,KC,8,675,0,0.1,0,0,0.9
243,157,56874,17,AM,111,L,I,169th Ave SE,SE 142nd St,FS,N,KC,8,675,0,0,0,0.1,0.9
243,157,56875,18,AM,111,L,I,169th Ave SE,SE 140th St,FS,N,KC,8,675,0,0.1,0,0,0.9
243,157,56876,19,AM,111,L,I,169th Ave SE,SE 138th St,FS,N,KC,8,674,0,0.1,0,0,0.9
243,157,56877,20,AM,111,L,I,169th Ave SE,SE 136th St,NS,N,KC,8,674,0,0.2,0,0,0.9
243,157,56878,21,AM,111,L,I,SE 136th St,171st Ave SE,NS,N,KC,8,675,0.1,0.7,0,0,1
243,157,56879,22,AM,111,L,I,172nd Ave SE,SE 134th St,NS,N,KC,8,675,0,0,0,0,1
243,157,56880,23,AM,111,L,I,SE 134th St,175th Ave SE,FS,N,KC,8,675,0.3,2.3,0.2,1.4,1.2
243,157,56881,24,AM,111,L,I,SE 134th St,178th Ave SE,NS,N,KC,8,675,0,0,0,0,1.2
243,157,56882,25,AM,111,L,I,SE 134th St,181st Ave SE,FS,N,KC,8,675,0,0,0,0,1.2
243,157,56883,26,AM,111,L,I,SE 135th St,182nd Ave SE,FS,N,KC,8,675,0,0.1,0,0,1.2
243,157,54000,27,AM,111,L,I,SE 135th St,184th Ave SE,FS,N,KC,8,673,0,0,0,0,1.2
243,157,54001,28,AM,111,L,I,Lake Kathleen Rd SE,SE 133rd Pl,FS,N,KC,8,675,0.1,0.6,0,0,1.3
243,157,54002,29,AM,111,L,I,Lake Kathleen Rd SE,SE 128th St,NS,N,KC,8,675,0.1,0.4,0,0,1.3
243,157,44968,30,AM,111,L,I,SE 128th St,177th Pl SE,FS,N,KC,8,675,0,0,0,0,1.3
243,157,44969,31,AM,111,L,I,SE 128th St,172nd Ave SE,FS,N,KC,8,674,0.1,0.5,0,0,1.4
