SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
192,142,31137,14,AM,7,L,I,S Henderson St,Rainier Ave S,FM,E,SEA,24,1547,1.5,36.5,0,0.3,1.5
192,142,31136,15,AM,7,L,I,S Henderson St,53rd Ave S,FS,E,SEA,24,1522,0.6,15,0,0.5,2.1
192,142,30122,16,AM,7,L,I,Seward Park Ave S,S Fisher Pl,NS,S,SEA,24,1540,0.9,22,0,0,3
192,142,8050,17,AM,7,L,I,Rainier Ave S,Seward Park Ave S,FS,W,SEA,23,1481,1.4,31.4,0,0.1,4.4
192,142,8070,18,AM,7,L,I,Rainier Ave S,52nd Ave S,FS,W,SEA,23,1480,0.5,12.1,0,0.1,4.9
192,142,8080,19,AM,7,L,I,Rainier Ave S,S Fisher Pl,NS,N,SEA,23,1485,2.1,48.6,0.1,2.5,6.9
192,142,8090,20,AM,7,L,I,Rainier Ave S,S Henderson St,NS,N,SEA,23,1486,1.3,30.1,0.1,2.5,8.1
192,142,8100,21,AM,7,L,I,Rainier Ave S,Cloverdale Pl S,NS,N,SEA,23,1487,0.6,14.6,0.1,2.4,8.6
192,142,8110,22,AM,7,L,I,Rainier Ave S,S Rose St,FS,N,SEA,23,1487,2.4,54.5,0.2,3.5,10.8
192,142,8140,23,AM,7,L,I,Rainier Ave S,S Holden St,FS,N,SEA,23,1487,2,45.1,0.1,3.3,12.6
192,142,8160,24,AM,7,L,I,Rainier Ave S,S Othello St,FS,N,SEA,23,1487,2.2,50.8,0.3,6.9,14.5
192,142,8175,25,AM,7,L,I,Rainier Ave S,S Frontenac St,FS,N,SEA,23,1486,1,23.3,0.1,1.3,15.5
192,142,8190,26,AM,7,L,I,Rainier Ave S,S Holly St,FS,N,SEA,23,1486,2.2,51,0.2,4,17.5
192,142,8210,27,AM,7,L,I,Rainier Ave S,S Graham St,NS,N,SEA,23,1487,3,68.1,0.8,17.7,19.7
192,142,8231,28,AM,7,L,I,Rainier Ave S,S Kenny St,FS,N,SEA,22,1420,1.1,24.4,0.2,3.8,20.4
192,142,8250,29,AM,7,L,I,Rainier Ave S,S Orcas St,FS,N,SEA,23,1486,1.7,38.9,0.2,4.2,21.9
192,142,8270,30,AM,7,L,I,Rainier Ave S,S Brandon St,FS,N,SEA,23,1486,1.3,29,0.3,7.1,22.8
192,142,8285,31,AM,7,L,I,Rainier Ave S,39th Ave S,FS,N,SEA,23,1486,1,23.5,0.1,2.5,23.7
192,142,8300,32,AM,7,L,I,Rainier Ave S,S Edmunds St,FS,N,SEA,23,1486,1.4,31.3,0.6,14.3,24.5
192,142,8310,33,AM,7,L,I,Rainier Ave S,S Alaska St,FS,N,SEA,23,1486,0.6,14.8,0.2,3.9,24.9
192,142,8330,34,AM,7,L,I,Rainier Ave S,S Genesee St,FS,N,SEA,23,1485,2.2,50.4,0.9,20.2,26.2
192,142,8350,35,AM,7,L,I,Rainier Ave S,S Andover St,FS,N,SEA,23,1486,1.6,36.7,0.5,11.1,27.3
192,142,8360,36,AM,7,L,I,Rainier Ave S,33rd Ave S,FS,N,SEA,23,1486,2.8,64.6,0.2,3.9,30
192,142,8380,37,AM,7,L,I,Rainier Ave S,S Walden St,NS,N,SEA,23,1486,1.2,27.9,0.7,15.9,30.5
192,142,8400,38,AM,7,L,I,Rainier Ave S,S Mount Baker Blvd,NS,N,SEA,23,1486,0.6,13.7,2.3,53.8,28.8
192,142,8401,39,AM,7,L,I,Rainier Ave S,S Forest St,NS,N,SEA,23,1486,2,45.2,4.9,112.1,25.9
192,142,8429,40,AM,7,L,I,Rainier Ave S,S Bayview St,FS,N,SEA,22,1419,1.2,25.5,0.8,17.5,26.9
192,142,8440,41,AM,7,L,I,Rainier Ave S,S Walker St,FS,N,SEA,22,1419,1.2,25.9,0.9,19.3,27.2
192,142,8450,42,AM,7,L,I,Rainier Ave S,S Plum St,FS,N,SEA,21,1353,0.8,17.5,0.2,4.5,28.2
192,142,8460,43,AM,7,L,I,Rainier Ave S,S Grand St,FS,N,SEA,21,1353,1.3,28,0.1,1.6,29.5
192,142,8485,44,AM,7,L,I,Rainier Ave S,I-90 Ramp,FS,N,SEA,20,1333,1.8,35.1,0.1,1.7,32
192,142,8494,45,AM,7,L,I,Rainier Ave S,S Charles St,FS,N,SEA,20,1332,1.8,35.5,1,20.2,32.7
192,142,8510,46,AM,7,L,I,Rainier Ave S,S Dearborn St,FS,N,SEA,20,1333,2.5,49.5,1.1,21.7,34.2
192,142,8530,47,AM,7,L,I,S Jackson St,Boren Ave S,FM,W,SEA,19,1265,2,38.1,2.9,55.5,33.4
192,142,3600,48,AM,7,L,I,S Jackson St,12th Ave S,FS,W,SEA,19,1265,1.9,36.3,1.6,30.1,33.7
192,142,1500,49,AM,7,L,I,S Jackson St,8th Ave S,NS,W,SEA,15,997,0.6,9.2,0.6,9.2,33.9
192,142,1510,50,AM,7,L,I,S Jackson St,Maynard Ave S,FS,W,SEA,15,997,1,15.4,0.9,13,34
192,142,1530,51,AM,7,L,I,S Jackson St,5th Ave S,FS,W,SEA,15,997,2.4,35.6,7.8,116.7,28.6
192,142,1610,52,AM,7,L,I,Prefontaine Pl S,Yesler Way,NS,N,SEA,14,930,0.6,8.7,4.6,63.7,24.9
192,142,538,53,AM,7,L,I,3rd Ave,Columbia St,NS,N,SEA,14,929,0.4,5.9,6.3,88,19.1
192,142,558,54,AM,7,L,I,3rd Ave,Seneca St,NS,N,SEA,14,926,0.2,2.5,5.1,71.3,14.2
192,142,575,55,AM,7,L,I,3rd Ave,Pike St,NS,N,SEA,14,924,0.2,2.3,10.9,153.2,3.5
192,142,98105,56,AM,7,L,I,Virginia St,4th Ave,NS,E,SEA,12,792,0,0.2,3.9,46.9,0
192,142,880,1,AM,7,L,O,Virginia St,6th Ave,NS,E,SEA,16,1035,0.2,3.9,0,0,0.2
192,142,430,2,AM,7,L,O,3rd Ave,Pine St,NS,S,SEA,16,1045,3.6,57.9,0.2,3.4,3.6
192,142,1085,3,AM,7,L,O,Pine St,9th Ave,FS,W,SEA,3,201,0.1,0.4,0,0,13.3
192,142,1110,4,AM,7,L,O,Pine St,5th Ave,NS,W,SEA,3,201,0.1,0.4,5.1,15.4,8.3
192,142,450,5,AM,7,L,O,3rd Ave,Union St,FS,S,SEA,19,1255,3.5,66.5,0.7,13.6,7.1
192,142,480,6,AM,7,L,O,3rd Ave,Marion St,NS,S,SEA,18,1188,2.2,40.3,0.6,11.3,8.7
192,142,500,7,AM,7,L,O,3rd Ave,James St,FS,S,SEA,18,1190,1.7,30.5,0.6,11.5,9.8
192,142,515,8,AM,7,L,O,3rd Ave S,S Main St,NS,S,SEA,18,1190,2.2,40.4,0.7,12.1,11.4
192,142,1471,9,AM,7,L,O,S Jackson St,5th Ave S,NS,E,SEA,17,1123,8.5,144.4,1.1,18.9,18.7
192,142,1480,10,AM,7,L,O,S Jackson St,Maynard Ave S,FS,E,SEA,28,1499,1,26.8,0.4,11.6,11.9
192,142,1490,11,AM,7,L,O,S Jackson St,8th Ave S,FS,E,SEA,28,1777,0.2,4.7,0.3,9.2,11.6
192,142,8540,12,AM,7,L,O,S Jackson St,12th Ave S,FS,E,SEA,28,1790,1.3,35.4,1.7,47.3,11.2
192,142,8550,13,AM,7,L,O,Rainier Ave S,S King St,NS,S,SEA,28,1792,0.6,17.9,1.6,44.8,10.2
192,142,8590,14,AM,7,L,O,Rainier Ave S,S Norman St,FS,S,SEA,28,1792,0.4,11.5,1.2,32.4,9.5
192,142,8608,15,AM,7,L,O,Rainier Ave S,I-90 Ramp,FS,S,SEA,27,1727,0.2,4.1,0.3,7.4,9.1
192,142,8620,16,AM,7,L,O,Rainier Ave S,S State St,FS,S,SEA,27,1727,0.1,3.7,0.3,8.3,8.9
192,142,8641,17,AM,7,L,O,Rainier Ave S,S Walker St,NS,S,SEA,27,1727,0.7,19.1,2.1,56.3,7.5
192,142,8660,18,AM,7,L,O,Rainier Ave S,S Bayview St,FS,S,SEA,27,1727,0.5,13.1,1.1,28.7,7
192,142,8681,19,AM,7,L,O,Rainier Ave S,S Stevens St,NS,S,SEA,27,1727,1.8,48.1,0.9,24,7.9
192,142,8690,20,AM,7,L,O,Rainier Ave S,Martin L King Jr Way,FS,S,SEA,27,1727,0.2,5,0.2,6.1,7.8
192,142,8710,21,AM,7,L,O,Rainier Ave S,S Walden St,FS,S,SEA,27,1727,0.4,10.3,0.6,16.3,7.6
192,142,8730,22,AM,7,L,O,Rainier Ave S,Letitia Ave S,NS,S,SEA,27,1727,0.3,9.4,0.7,19.7,7.2
192,142,8740,23,AM,7,L,O,Rainier Ave S,S Andover St,NS,S,SEA,27,1727,0.2,6.2,0.4,11.4,7.1
192,142,8760,24,AM,7,L,O,Rainier Ave S,S Genesee St,FS,S,SEA,27,1727,0.3,8.1,1.1,29.4,6.3
192,142,8780,25,AM,7,L,O,Rainier Ave S,S Alaska St,FS,S,SEA,26,1659,0.2,4.7,0.2,5.2,6.1
192,142,8790,26,AM,7,L,O,Rainier Ave S,S Edmunds St,NS,S,SEA,26,1659,0.2,5.7,0.4,11.6,5.8
192,142,8810,27,AM,7,L,O,Rainier Ave S,S Dawson St,FS,S,SEA,26,1659,0.2,4,0.2,3.9,5.8
192,142,8820,28,AM,7,L,O,Rainier Ave S,S Brandon St,NS,S,SEA,26,1659,0.1,2.3,0.6,16.1,5.3
192,142,8840,29,AM,7,L,O,Rainier Ave S,S Orcas St,FS,S,SEA,26,1659,0.1,2.9,0.2,5.8,5.2
192,142,8850,30,AM,7,L,O,Rainier Ave S,S Kenny St,FS,S,SEA,26,1659,0.2,4.5,0.6,16.1,4.8
192,142,8870,31,AM,7,L,O,Rainier Ave S,S Graham St,FS,S,SEA,26,1659,0.4,11.4,0.3,8.4,4.9
