DateValue - Year,DateValue - Month,"Direction, Friendly",LongName,Line_Temp,BoardingCnt,AlightingCnt,stationCode,
2024,November,North,Lynnwood City Center,1 Line,3313,64405,140,
2024,November,North,Mountlake Terrace,1 Line,2164,19866,141,
2024,November,North,Shoreline North/185th,1 Line,1231,12549,142,
2024,November,North,Shoreline South/148th,1 Line,2241,13652,143,
2024,November,North,Northgate,1 Line,7348,45277,145,
2024,November,North,Roosevelt,1 Line,7599,37844,146,
2024,November,North,U District,1 Line,27358,58402,147,
2024,November,North,University of Washington,1 Line,25144,37741,148,
2024,November,North,Capitol Hill,1 Line,54521,47920,149,
2024,November,North,Westlake/Seattle,1 Line,66557,40458,150,
2024,November,North,Symphony,1 Line,24337,19243,151,
2024,November,North,Pioneer Square,1 Line,15752,10641,152,
2024,November,North,International District/Chinatown,1 Line,32584,14105,153,
2024,November,North,Stadium,1 Line,5907,4514,154,
2024,November,North,SODO,1 Line,10724,14835,155,
2024,November,North,Beacon Hill,1 Line,17686,10391,156,
2024,November,North,Mount Baker,1 Line,14999,8331,157,
2024,November,North,Columbia City,1 Line,13725,4545,158,
2024,November,North,Othello,1 Line,15417,5658,160,
2024,November,North,Rainier Beach,1 Line,9849,4166,161,
2024,November,North,Tukwila International Blvd,1 Line,24591,9243,163,
2024,November,North,SeaTac/Airport,1 Line,71545,7195,164,
2024,November,North,Angle Lake,1 Line,36532,145,165,
2024,November,South,Lynnwood City Center,1 Line,24005,318,140,
2024,November,South,Mountlake Terrace,1 Line,6846,1048,141,
2024,November,South,Shoreline North/185th,1 Line,4721,453,142,
2024,November,South,Shoreline South/148th,1 Line,5110,659,143,
2024,November,South,Northgate,1 Line,17370,2447,145,
2024,November,South,Roosevelt,1 Line,16929,3741,146,
2024,November,South,U District,1 Line,23363,11127,147,
2024,November,South,University of Washington,1 Line,16296,12319,148,
2024,November,South,Capitol Hill,1 Line,16052,24719,149,
2024,November,South,Westlake/Seattle,1 Line,14330,22938,150,
2024,November,South,Symphony,1 Line,6826,11033,151,
2024,November,South,Pioneer Square,1 Line,4220,7398,152,
2024,November,South,International District/Chinatown,1 Line,6048,11726,153,
2024,November,South,Stadium,1 Line,1958,3715,154,
2024,November,South,SODO,1 Line,7834,4519,155,
2024,November,South,Beacon Hill,1 Line,3705,6825,156,
2024,November,South,Mount Baker,1 Line,3715,5476,157,
2024,November,South,Columbia City,1 Line,2226,5812,158,
2024,November,South,Othello,1 Line,2740,6248,160,
2024,November,South,Rainier Beach,1 Line,2119,5591,161,
2024,November,South,Tukwila International Blvd,1 Line,3624,12272,163,
2024,November,South,SeaTac/Airport,1 Line,3541,26849,164,
