block_identifier,service_id,trip_id,trip_sequence
5906508,117816,49192187,1
5906508,117816,49192188,2
5906508,117816,49192189,3
5906508,117816,49192288,4
5906508,117816,49192289,5
5906508,117816,49192290,6
5906508,117816,49192291,7
5906508,117816,49192316,8
5906508,117816,49192317,9
5906508,117816,49192231,10
5906508,117816,49192232,11
5906508,117816,49192233,12
5906508,117816,49192234,13
5906508,117816,49192235,14
5906508,117816,49192236,15
5906508,117816,49192237,16
5906508,117816,49192238,17
5906508,117816,49192239,18
5906508,117816,49192240,19
5906508,117816,49192323,20
5906508,117816,49192324,21
5906508,117816,49192325,22
5906508,117816,49192326,23
5906508,117816,49192327,24
5906508,117816,49192328,25
5906508,117816,49192329,26
5906508,117816,49192330,27
5906508,117816,49192331,28
5906508,117816,49192332,29
5906508,117816,49192333,30
5906508,117816,49192334,31
5906508,117816,49192335,32
5906508,117816,49192336,33
5906508,117816,49192255,34
5906508,117816,49192256,35
5906508,117816,49192257,36
5906508,117816,49192258,37
5906508,117816,49192259,38
5906508,117816,49192260,39
5906509,117816,49192222,1
5906509,117816,49192223,2
5906509,117816,49192224,3
5906509,117816,49192225,4
5906509,117816,49192226,5
5906509,117816,49193767,6
5906510,117816,49192261,1
5906510,117816,49192262,2
5906510,117816,49192263,3
5906510,117816,49192264,4
5906510,117816,49192265,5
5906510,117816,49193764,6
5906511,117816,49192287,1
5906511,117816,49192312,2
5906511,117816,49192313,3
5906511,117816,49192314,4
5906511,117816,49192315,5
5906511,117816,49192229,6
5906511,117816,49192230,7
5906511,117816,49193760,8
5906512,117816,49192311,1
5906512,117816,49192190,2
5906512,117816,49192191,3
5906512,117816,49192192,4
5906512,117816,49192193,5
5906512,117816,49192292,6
5906512,117816,49192293,7
5906512,117816,49192318,8
5906513,117816,49192319,1
5906513,117816,49192227,2
5906513,117816,49192228,3
5906513,117816,49192268,4
5906513,117816,49192269,5
5906513,117816,49192270,6
5906513,117816,49192271,7
5906513,117816,49192272,8
5906513,117816,49192273,9
5906513,117816,49192274,10
5906513,117816,49192275,11
5906513,117816,49192276,12
5906513,117816,49192277,13
5906513,117816,49192278,14
5906513,117816,49192279,15
5906513,117816,49192280,16
5906513,117816,49192281,17
5906513,117816,49192282,18
5906513,117816,49192283,19
5906513,117816,49192284,20
5906513,117816,49192285,21
5906513,117816,49192286,22
5906514,117816,49192320,1
5906514,117816,49192266,2
5906514,117816,49192267,3
5906514,117816,49192196,4
5906514,117816,49192197,5
5906514,117816,49192198,6
5906514,117816,49192199,7
5906514,117816,49192200,8
5906514,117816,49192201,9
5906514,117816,49192202,10
5906514,117816,49192203,11
5906514,117816,49192204,12
5906514,117816,49192205,13
5906514,117816,49192206,14
5906514,117816,49192207,15
5906514,117816,49192208,16
5906514,117816,49192209,17
5906514,117816,49192210,18
5906514,117816,49192211,19
5906514,117816,49192212,20
5906514,117816,49192213,21
5906514,117816,49192214,22
5906514,117816,49192215,23
5906515,117816,49192321,1
5906515,117816,49192194,2
5906515,117816,49192195,3
5906515,117816,49192294,4
5906515,117816,49192295,5
5906515,117816,49192296,6
5906515,117816,49192297,7
5906515,117816,49192298,8
5906515,117816,49192299,9
5906515,117816,49192300,10
5906515,117816,49192301,11
5906515,117816,49192302,12
5906515,117816,49192303,13
5906515,117816,49192304,14
5906515,117816,49192305,15
5906515,117816,49192306,16
5906515,117816,49192307,17
5906515,117816,49192308,18
5906515,117816,49192309,19
5906515,117816,49192310,20
5906516,117816,49192322,1
