route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id
100162,59489,347461004,"University District ","LOCAL",1,6836866,30271008,0,101
100162,59489,347461024,"University District Bellevue","LOCAL",1,6837047,30271003,0,101
100162,59489,347461144,"University District Bellevue","LOCAL",1,6836868,30271003,0,101
100162,59489,347461344,"University District Bellevue","LOCAL",1,6836886,30271003,0,101
100162,59489,347461484,"University District Bellevue","LOCAL",1,6836864,30271003,0,101
100162,59489,347461494,"University District Bellevue","LOCAL",1,6836870,30271003,0,101
100162,59489,347461554,"University District Bellevue","LOCAL",1,6836885,30271003,0,101
100162,59489,347461564,"University District Bellevue","LOCAL",1,6836882,30271003,0,101
100162,59489,347461604,"University District Bellevue","LOCAL",1,6837047,30271003,0,101
100162,59489,347461624,"University District Bellevue","LOCAL",1,6837164,30271003,0,101
100162,59489,347463284,"University District Bellevue","LOCAL",1,6836868,30271003,0,101
100162,59489,347463294,"University District Bellevue","LOCAL",1,6836866,30271003,0,101
100162,59489,347463324,"University District Bellevue","LOCAL",1,6836882,30271003,0,101
100137,59489,347464334,"Eastgate P&R ","LOCAL",1,6836857,20246003,0,101
100136,59489,347465654,"Factoria Crossroads","LOCAL",1,6836843,20245007,0,101
100133,59489,347468004,"Bellevue Transit Center ","LOCAL",0,6836820,11240002,0,101
100133,59489,347468014,"Bellevue Transit Center ","LOCAL",0,6836822,11240002,0,101
100133,59489,347468024,"Bellevue Transit Center ","LOCAL",0,6836823,11240002,0,101
100133,59489,347468044,"Bellevue Transit Center ","LOCAL",0,6836820,11240002,0,101
100133,59489,347468054,"Bellevue Transit Center ","LOCAL",0,6836853,11240002,0,101
100133,59489,347468064,"Bellevue Transit Center ","LOCAL",0,6836822,11240002,0,101
100133,59489,347468074,"Bellevue Transit Center ","LOCAL",0,6836819,11240002,0,101
100133,59489,347468084,"Bellevue Transit Center ","LOCAL",0,6836824,11240002,0,101
100133,59489,347468094,"Bellevue Transit Center ","LOCAL",0,6836825,11240002,0,101
100133,59489,347468104,"Bellevue Transit Center ","LOCAL",0,6836853,11240002,0,101
100133,59489,347468114,"Bellevue Transit Center ","LOCAL",0,6836822,11240002,0,101
100133,59489,347468164,"Bellevue Transit Center ","LOCAL",0,6836822,11240002,0,101
100133,59489,347468174,"Bellevue Transit Center ","LOCAL",0,6836826,11240002,0,101
100133,59489,347468224,"Bellevue Transit Center ","LOCAL",0,6836853,11240002,0,101
100133,59489,347468244,"Bellevue Transit Center ","LOCAL",0,6836826,11240002,0,101
100133,59489,347468254,"Bellevue Transit Center ","LOCAL",0,6836819,11240002,0,101
100133,59489,347468264,"Bellevue Transit Center ","LOCAL",0,6836827,11240002,0,101
100133,59489,347468284,"Bellevue Transit Center ","LOCAL",0,6836819,11240002,0,101
100133,59489,347468294,"Bellevue Transit Center ","LOCAL",0,6836853,11240002,0,101
100133,59489,347468304,"Bellevue Transit Center ","LOCAL",0,6836819,11240002,0,101
100133,59489,347468614,"Bellevue Transit Center ","LOCAL",0,6836822,11240002,0,101
100162,59489,347468864,"University District Bellevue","LOCAL",1,6836865,30271003,0,101
102548,10299,347619634,"Redmond Transit Center Overlake","LOCAL",0,6836890,41672002,0,101
102548,10299,347619644,"Bellevue Transit Center Crossroads","LOCAL",1,6836890,30672003,0,101
102548,10299,347619654,"Bellevue Transit Center Crossroads","LOCAL",1,6836889,30672003,0,101
102548,10299,347619664,"Redmond Transit Center Overlake","LOCAL",0,6836889,41672002,0,101
102548,10299,347619674,"Bellevue Transit Center Crossroads","LOCAL",1,6836890,30672003,0,101
