service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
113803,1,1,1,1,1,0,0,20250331,20250829
112027,0,1,1,1,1,0,0,20250331,20250829
111238,0,1,1,1,0,0,0,20250331,20250829
74153,0,0,1,0,0,0,0,20250402,20250829
65471,0,0,0,0,0,0,0,20250414,20250829
64588,0,0,0,0,0,0,0,20250414,20250829
61200,0,0,0,0,0,0,0,20250414,20250829
50038,0,0,0,0,0,0,0,20250331,20250618
46650,0,0,0,0,0,0,0,20250331,20250606
45767,0,0,0,0,0,0,0,20250331,20250606
39029,0,0,0,0,0,0,0,20250331,20250617
37085,0,0,0,0,0,0,0,20250331,20250617
26780,0,0,0,0,0,1,0,20250405,20250823
23074,0,0,0,0,0,0,1,20250406,20250824
22285,0,0,0,0,0,0,1,20250406,20250824
20509,0,0,0,0,0,0,1,20250406,20250824
12953,0,0,0,0,0,0,0,20250402,20250618
12304,0,0,0,0,0,0,0,20250402,20250611
649,0,0,1,0,0,0,0,20250618,20250618
